RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical
646,1300 N Milwaukee Ave,1,24,West Town,2,41.905272,-87.66957,0
1234,1303 N Ashland Ave,1,24,West Town,1,41.9054,-87.667375,0
3495,1310 N Milwaukee Ave,1,24,West Town,2,41.905356,-87.669858,1
4371,1313 N Claremont Ave,1,24,West Town,3,41.905868,-87.685711,1
6290,1324 W Wabansia Ave,32,24,West Town,6,41.914016,-87.66183,1
2517,1328 N Damen Ave,1,24,West Town,2,41.905821,-87.677498,1
2086,1331 N Ashland Ave,1,24,West Town,1,41.905772,-87.667385,1
2070,1336 N Ashland Ave,1,24,West Town,1,41.905846,-87.667749,1
5372,1343 N California Ave,26,24,West Town,2,41.905887,-87.696778,1
2535,1344 N Dean St,1,24,West Town,1,41.907,-87.670852,1
6920,1351 N Western Ave,1,24,West Town,1,41.906164,-87.686901,0
4403,1354 W Wabansia Ave,32,24,West Town,2,41.913872,-87.662274,1
1221,1359 N Milwaukee Ave,1,24,West Town,2,41.906679,-87.671427,0
7111,1362 N Milwaukee Ave,1,24,West Town,1,41.906547,-87.671736,0
6570,1375 N Milwaukee Ave,1,24,West Town,1,41.906929,-87.671784,0
7109,1379 N Milwaukee Ave,32,24,West Town,1,41.906988,-87.671878,0
3492,1391 N Milwaukee Ave,1,24,West Town,1,41.907164,-87.672159,1
866,1401 N Ashland Ave,1,24,West Town,1,41.907065,-87.66751,0
2512,1401 N Damen Ave,1,24,West Town,1,41.907261,-87.677236,1
4608,1402 N Ashland Ave,1,24,West Town,1,41.907139,-87.66777,1
4280,1410 N Milwaukee Ave,1,24,West Town,1,41.907423,-87.673125,1
1236,1415 N Ashland Ave,1,24,West Town,1,41.90736,-87.667424,0
4645,1415 N Wood St,1,24,West Town,1,41.907858,-87.672301,1
2175,1419 W Blackhawk St,32,24,West Town,3,41.906919,-87.663447,1
2177,1419 W Blackhawk St,32,24,West Town,2,41.906919,-87.663447,1
5139,1419 W Blackhawk St,32,24,West Town,2,41.906919,-87.663447,1
2176,1421 W Blackhawk St,32,24,West Town,2,41.906919,-87.663512,1
6132,1422 N Ashland Ave,1,24,West Town,2,41.907525,-87.667698,1
1223,1424 N Milwaukee Ave,1,24,West Town,1,41.907661,-87.673496,0
6899,1425 N Ashland Ave,1,24,West Town,1,41.907719,-87.667497,0
2511,1425 N Damen Ave,1,24,West Town,1,41.907474,-87.67719,1
1225,1429 N Milwaukee Ave,1,24,West Town,1,41.907834,-87.673212,0
551,1431 N Claremont Ave,1,24,West Town,1,41.907218,-87.685744,0
4682,1431 N Claremont Ave,1,24,West Town,1,41.907218,-87.685744,1
1237,1438 N Ashland Ave,1,24,West Town,2,41.908023,-87.667801,0
2444,1442 N Cleaver St,1,24,West Town,1,41.907776,-87.664129,1
1226,1456 N Milwaukee Ave,1,24,West Town,1,41.908292,-87.674477,0
3491,1457 N Milwaukee Ave,1,24,West Town,1,41.908294,-87.673926,1
6214,1463 N Milwaukee Ave,1,24,West Town,1,41.908353,-87.674018,1
6212,1468 N Milwaukee Ave,1,24,West Town,2,41.90847,-87.674753,1
4871,1501 N Greenview Ave,32,24,West Town,2,41.908971,-87.665035,1
4874,1501 N Greenview Ave,32,24,West Town,1,41.908971,-87.665035,1
3605,1501 N Oakley Ave,1,24,West Town,1,41.908701,-87.684559,1
1227,1516 N Milwaukee Ave,1,24,West Town,1,41.909224,-87.6759,0
2520,1520 N Damen Ave,1,24,West Town,3,41.908999,-87.677466,1
2522,1520 N Damen Ave,1,24,West Town,3,41.908999,-87.677466,1
1228,1521 N Milwaukee Ave,1,24,West Town,1,41.909348,-87.67554,0
4355,1524 N Ashland Ave,1,24,West Town,1,41.909626,-87.66785,1
4542,1525 W Homer St,32,22,Logan Square,1,41.917349,-87.666405,1
355,1527 N Ashland Ave,1,24,West Town,1,41.90967,-87.66749,0
4148,1527 N Wicker Park Ave,1,24,West Town,2,41.908494,-87.676459,1
1093,1530 N Damen Ave,1,24,West Town,1,41.909181,-87.677554,0
1198,1531 N Damen Ave,1,24,West Town,2,41.909145,-87.677284,0
2515,1540 N Damen Ave,1,24,West Town,1,41.909446,-87.677536,1
2521,1551 N Damen Ave,1,24,West Town,1,41.909569,-87.677257,1
1231,1554 N Milwaukee Ave,1,24,West Town,1,41.909668,-87.676586,0
6208,1558 N Elston Ave,32,24,West Town,1,41.909911,-87.661862,1
5949,1560 N Milwaukee Ave,1,24,West Town,1,41.909738,-87.676695,1
3473,1564 N Milwaukee Ave,1,24,West Town,3,41.909785,-87.676767,1
6538,1565 N Milwaukee Ave,1,24,West Town,1,41.909932,-87.676444,0
6517,1566 N Damen Ave,1,24,West Town,1,41.909712,-87.677631,0
3475,1581 N Milwaukee Ave,1,24,West Town,3,41.910144,-87.676773,1
4892,1585 N Milwaukee Ave,1,24,West Town,2,41.910197,-87.676856,1
5032,1585 N Milwaukee Ave,1,24,West Town,1,41.910197,-87.676856,1
1202,1586 N Damen Ave,1,24,West Town,2,41.909922,-87.6776,0
2519,1588 N Damen Ave,1,24,West Town,1,41.909944,-87.677579,1
5123,1600 N Milwaukee Ave,1,24,West Town,4,41.910441,-87.677651,1
328,1601 N Milwaukee Ave,32,24,West Town,2,41.910566,-87.677546,0
4595,1601 N Western Ave,1,24,West Town,1,41.910408,-87.687027,1
4484,1601 W North Ave,1,24,West Town,2,41.91058,-87.667759,1
5958,1601 W North Ave,1,24,West Town,1,41.91058,-87.667759,1
2514,1625 N Damen Ave,32,24,West Town,1,41.911176,-87.677311,1
2262,1626 N California Ave,1,24,West Town,2,41.911031,-87.697199,1
2265,1626 N California Ave,1,24,West Town,2,41.911031,-87.697199,1
5360,1626 N California Ave,1,24,West Town,2,41.911031,-87.697199,1
1115,1627 N Damen Ave,32,24,West Town,1,41.911227,-87.677309,0
1203,1627 N Damen Ave,32,24,West Town,1,41.911227,-87.677309,0
778,1629 N Ashland Ave,1,24,West Town,1,41.911243,-87.667588,0
6779,1629 N Damen Ave,32,24,West Town,2,41.911277,-87.677307,0
5950,1635 N Damen Ave,32,24,West Town,1,41.911429,-87.677334,1
3363,1640 N Maplewood Ave,1,24,West Town,2,41.911062,-87.691097,1
2170,1642 N Besly Ct,32,24,West Town,1,41.911573,-87.663859,1
1205,1647 N Damen Ave,32,24,West Town,2,41.911733,-87.677311,0
6033,1652 N Western Ave,1,24,West Town,1,41.91131,-87.68744,1
5943,1659 N Ashland Ave,1,24,West Town,1,41.911667,-87.667544,1
4894,1659 N Campbell Ave,1,24,West Town,1,41.911334,-87.689517,1
4850,1659 W North Ave,1,24,West Town,2,41.910463,-87.669429,1
5231,1664 N California Ave,1,24,West Town,1,41.912088,-87.697083,1
6708,1669 N Milwaukee Ave,32,24,West Town,1,41.912059,-87.6799,0
3933,1685 N Throop St,32,24,West Town,3,41.913619,-87.661049,1
215,1701 N Milwaukee Ave,32,24,West Town,1,41.912359,-87.680386,0
6308,1702 N Milwaukee Ave,32,24,West Town,1,41.912257,-87.680573,1
4290,1704 N Milwaukee Ave,32,24,West Town,1,41.912259,-87.680639,1
5359,1704 N Milwaukee Ave,32,24,West Town,2,41.912259,-87.680639,1
5947,1719 N Damen Ave,32,24,West Town,1,41.912834,-87.677339,1
6129,1720 N California Ave,1,24,West Town,1,41.912778,-87.697248,1
4291,1721 N Damen Ave,32,24,West Town,1,41.912881,-87.677341,1
2063,1722 N Ashland Ave,1,24,West Town,1,41.912883,-87.667888,1
6918,1722 N Western Ave,1,24,West Town,1,41.912521,-87.687316,0
1207,1723 N Damen Ave,32,24,West Town,1,41.912927,-87.677366,0
1242,1724 N Ashland Ave,1,24,West Town,1,41.912908,-87.667889,0
5952,1725 N Damen Ave,32,24,West Town,1,41.912973,-87.677418,1
5377,1735 N Damen Ave,32,24,West Town,2,41.913366,-87.677394,1
6215,1735 N Paulina St,1,24,West Town,2,41.913094,-87.670016,1
1208,1741 N Damen Ave,32,24,West Town,1,41.913514,-87.677394,0
1253,1755 W North Ave,1,24,West Town,1,41.910431,-87.671888,0
1254,1800 W North Ave,32,24,West Town,1,41.910648,-87.672728,0
4476,1824 N Milwaukee Ave,1,22,Logan Square,2,41.914504,-87.684115,1
2524,1825 N Damen Ave,32,22,Logan Square,1,41.914593,-87.677406,1
1166,1835 N Milwaukee Ave,32,22,Logan Square,1,41.914879,-87.684141,0
6116,1840 W North Ave,32,24,West Town,1,41.910662,-87.674069,1
728,1845 N Western Ave,1,22,Logan Square,1,41.915096,-87.687141,0
706,1845 W Cortland St,32,22,Logan Square,1,41.915867,-87.674261,0
2484,1845 W Cortland St,32,22,Logan Square,1,41.915867,-87.674261,1
1256,1854 W North Ave,32,24,West Town,1,41.910661,-87.674265,0
4805,1858 W Wabansia Ave,32,24,West Town,1,41.912476,-87.674374,1
6782,1861 N Milwaukee Ave,1,22,Logan Square,1,41.915593,-87.685239,0
5355,1865 N Milwaukee Ave,1,22,Logan Square,2,41.915658,-87.68534,1
5381,1866 N Milwaukee Ave,1,22,Logan Square,2,41.915459,-87.685584,1
6284,1869 N Damen Ave,32,22,Logan Square,1,41.915765,-87.677394,1
394,1900 W North Ave,32,24,West Town,3,41.910609,-87.675179,0
1049,1904 N Milwaukee Ave,1,22,Logan Square,1,41.915993,-87.686408,0
7068,1909 N Western Ave,1,22,Logan Square,3,41.916071,-87.687185,0
472,1913 W North Ave,1,24,West Town,2,41.910372,-87.675562,0
6882,1916 N Western Ave,1,22,Logan Square,1,41.916255,-87.687551,0
409,1916 W North Ave,32,24,West Town,1,41.910638,-87.675706,0
6887,1919 N Milwaukee Ave,1,22,Logan Square,1,41.916533,-87.686691,0
1210,1924 N Damen Ave,32,22,Logan Square,1,41.916744,-87.677776,0
410,1924 W North Ave,32,24,West Town,2,41.910631,-87.675968,0
57,1925 N Milwaukee Ave,1,22,Logan Square,1,41.91663,-87.686841,0
224,1927 W North Ave,1,24,West Town,2,41.910364,-87.676022,0
295,1927 W North Ave,1,24,West Town,2,41.910364,-87.676022,0
395,1934 W North Ave,32,24,West Town,2,41.910596,-87.67645,0
1211,1935 N Damen Ave,32,22,Logan Square,1,41.91691,-87.677501,0
484,1941 W North Ave,1,24,West Town,2,41.910341,-87.676574,0
483,1943 W North Ave,1,24,West Town,2,41.910339,-87.676622,0
894,1944 N Damen Ave,32,22,Logan Square,1,41.91716,-87.677775,0
4282,1949 N Hoyne Ave,32,22,Logan Square,3,41.917221,-87.679895,1
6206,1949 N Hoyne Ave,32,22,Logan Square,1,41.917221,-87.679895,1
5417,1951 N Western Ave,1,22,Logan Square,2,41.917003,-87.687309,1
411,1952 W North Ave,32,24,West Town,2,41.910521,-87.676877,0
2452,1953 N Clybourn Ave,32,7,Lincoln Park,1,41.916846,-87.657664,1
2453,1953 N Clybourn Ave,32,7,Lincoln Park,1,41.916846,-87.657664,1
6316,1960 N Damen Ave,32,22,Logan Square,1,41.917312,-87.677784,1
1233,1999 W North Ave,1,24,West Town,1,41.910405,-87.677443,0
3565,2000 W North Ave,32,24,West Town,3,41.910507,-87.677593,1
4866,2000 W North Ave,32,24,West Town,2,41.910507,-87.677593,1
5509,2000 W North Ave,32,24,West Town,1,41.910507,-87.677593,1
5817,2000 W North Ave,32,24,West Town,1,41.910507,-87.677593,1
4873,2009 W Schiller St,1,24,West Town,2,41.906993,-87.677773,1
6576,2009 W Schiller St,1,24,West Town,1,41.906993,-87.677773,0
5240,2020 W Schiller St,1,24,West Town,3,41.907256,-87.678023,1
5356,2020 W Schiller St,1,24,West Town,2,41.907256,-87.678023,1
5358,2025 W North Ave,1,24,West Town,2,41.910343,-87.678038,1
789,2030 W North Ave,32,24,West Town,1,41.910573,-87.678391,0
492,2057 W North Ave,1,24,West Town,2,41.910301,-87.678888,0
412,2100 W North Ave,32,24,West Town,2,41.910559,-87.680222,0
491,2157 W North Ave,32,24,West Town,2,41.910268,-87.681283,0
579,2204 W North Ave,1,24,West Town,2,41.910507,-87.68264,0
6158,2216 W Hirsch St,1,24,West Town,2,41.906863,-87.682924,1
6518,2222 W North Ave,1,24,West Town,1,41.910493,-87.683225,0
6519,2225 W North Ave,1,24,West Town,1,41.910223,-87.683278,0
2485,2230 W Cortland St,32,22,Logan Square,1,41.916261,-87.683246,1
2486,2230 W Cortland St,32,22,Logan Square,1,41.916261,-87.683246,1
1006,2234 W North Ave,1,24,West Town,1,41.910463,-87.683762,0
762,2325 W North Ave,1,24,West Town,1,41.910198,-87.685715,0
582,2403 W Homer St,1,22,Logan Square,2,41.916469,-87.688317,0
490,2413 W North Ave,1,24,West Town,1,41.910233,-87.687713,0
485,2440 W North Ave,1,24,West Town,2,41.910432,-87.688726,0
4306,2440 W North Ave,1,24,West Town,1,41.910432,-87.688726,1
486,2516 W North Ave,1,24,West Town,2,41.910471,-87.69035,0
488,2525 W North Ave,26,24,West Town,1,41.910109,-87.690612,0
487,2546 W North Ave,1,24,West Town,2,41.910422,-87.69126,0
4315,2556 W North Ave,1,24,West Town,1,41.91042,-87.691399,1
1148,2658 W Evergreen Ave,26,24,West Town,1,41.905827,-87.693429,0
125,2815 W Armitage Ave,35,22,Logan Square,1,41.917355,-87.697744,0
