Rank,Index,Grocery,Housing,Utilities,Transportation,HeathÂ ,Misc,State
1,84,91.3,68.5,89.9,93,88.6,89.1,MISSISSIPPI
2,88.3,94.9,74,96.9,90.8,93.5,93.5,OKLAHOMA
3,88.7,86.3,76.7,94.5,100,93.5,94.1,MICHIGAN
4,88.8,91.8,75.9,90.2,91.3,88,97,ARKANSAS
5,88.8,95.8,72.1,106.1,91.2,85.9,94.4,ALABAMA
6,88.9,97.2,73,100.3,93.9,97.7,92.8,MISSOURI
7,89.4,93.3,78.4,95,91.1,88.2,95,TENNESSEE
8,89.5,91.6,76.2,102.8,96.7,96.4,92.8,KANSAS
9,90.8,99.1,74.9,96.5,99.2,96.7,96,GEORGIA
10,91.3,90.3,83.7,101.1,93.8,95.9,94,TEXAS
11,91.4,105.7,81.9,92.5,98.7,94.5,91.1,WYOMING
12,91.5,91,78.9,96.9,98.3,96.3,97.9,INDIANA
13,91.9,94.3,78.9,99.1,98.6,96.3,97.1,IOWA
14,92.6,90.3,80.8,93.8,98.7,92.5,101.2,KENTUCKY
15,92.7,93,86.2,87.6,102,101.3,95.7,IDAHO
16,92.7,101,76.2,91.7,98.5,95.4,101.3,OHIO
17,92.9,106.9,82.4,89.2,97.3,104.3,94.3,NEW MEXICO
18,93.4,95.8,87.7,91.1,102.4,100.2,94.6,NEBRASKA
19,93.4,101.2,85.5,89.5,94.3,94.8,97.6,LOUISIANA
20,93.9,97.6,82.7,95,96.1,107,98.9,NORTH CAROLINA
21,94.6,99.3,88.3,108.4,97.1,94.8,93.4,ARIZONA
22,96.3,97.7,87.9,95.9,103.4,116.1,98.3,WISCONSIN
23,96.6,99.8,92.9,94.6,96.2,98.9,98.6,UTAH
24,96.7,96.9,89.6,99,105.9,99.1,99,ILLINOIS
25,96.8,103.1,90.7,87.2,93.9,93.2,103.3,WEST VIRGINIA
26,98.3,101.9,87.2,108.9,91.8,101.3,104.2,SOUTH CAROLINA
27,98.9,104.7,97.5,100.5,99.9,96.2,97.4,FLORIDA
28,99,104.6,93.6,93.4,107.2,113.2,98.7,NORTH DAKOTA
29,100.2,106.1,89,95.1,102.9,112.9,106.2,MINNESOTA
30,101.2,104.7,98.4,105.8,110,92,99.7,PENNSYLVANIA
31,101.2,98.8,115.9,90.6,90.2,101,96.1,SOUTH DAKOTA
32,102.1,96.8,111.4,98.2,91.3,100.4,100.6,VIRGINIA
33,103.9,107.4,106.4,88.1,97.9,105.2,106.3,MONTANA
34,103.9,100.2,114,88.7,101,102.8,102.5,COLORADO
35,105.4,110.1,101.1,101.4,102,96.7,110.2,DELAWARE
36,108.3,107.4,111.6,91.1,113.9,118.8,108,WASHINGTON
37,110.3,118.9,111.3,80.3,112.5,111.9,113.9,NEVADA
38,112,111.6,107.4,116.6,105.5,116,115.6,NEW HAMPSHIRE
39,116.3,111.6,124.5,119.7,104.7,110.9,114.3,MAINE
40,117.4,104.6,142.3,118.5,114.3,102.3,104.8,VERMONT
41,118.4,100.9,148.9,104.6,108.8,104.6,108.8,NEW JERSEY
42,122.2,116.9,140.1,115.8,105.2,111.7,117.5,RHODE ISLAND
43,127.1,112.4,155.3,105.9,116.9,115.7,120,CONNECTICUT
44,127.6,111,163.7,106.2,108.4,123.7,116.4,MASSACHUSETTS
45,130,111.2,180.8,89.1,113.1,110.8,114.8,OREGON
46,130.4,106.9,187,106.7,114.1,91.6,109.9,MARYLAND
47,130.9,135.1,136,153.6,123.1,150.1,118.2,ALASKA
48,133.9,108.7,196.5,103.4,110.8,103.3,111.8,NEW YORK
49,141,116.1,207.6,119.5,121.1,110.1,112.1,CALIFORNIA
50,161.8,112.4,269.8,116.4,111.9,99.8,127.6,DISTRICT OF COLUMBIA
51,186.3,168,295.8,183.6,139.7,111.8,12,HAWAII
